"carat","cut","color","clarity","depth","table","price","x","y","z"
0.41,"Ideal","E","VS1",61.8,57,1153,4.79,4.76,2.95
1,"Premium","G","SI1",60.1,61,3634,6.44,6.4,3.86
0.35,"Very Good","H","VS1",60,57,603,4.57,4.6,2.75
0.32,"Ideal","I","SI1",60.5,58,450,4.43,4.49,2.7
0.56,"Ideal","E","SI1",62.8,58,1784,5.31,5.26,3.32
0.3,"Ideal","G","SI1",60.9,57,422,4.34,4.39,2.66
0.75,"Premium","G","VVS2",62.5,56,3486,5.84,5.78,3.63
0.41,"Ideal","H","VVS1",62.7,54,1043,4.78,4.79,3
0.31,"Very Good","E","VVS1",62.3,59,878,4.32,4.38,2.71
0.31,"Ideal","D","VS1",61.8,55,683,4.34,4.36,2.69
1.58,"Ideal","I","SI1",61.7,56,9335,7.55,7.48,4.64
1.57,"Ideal","J","SI1",62,55.6,8035,7.43,7.47,4.62
1.53,"Very Good","F","SI1",58.5,59,11713,7.55,7.62,4.44
1.22,"Ideal","H","SI2",61,57,5502,6.88,6.93,4.2
0.31,"Ideal","J","VVS1",62.4,54,461,4.32,4.35,2.7
1.52,"Very Good","G","VS2",63.3,57,11338,7.32,7.27,4.62
0.57,"Very Good","E","VS2",63,59,1654,5.25,5.29,3.32
1.52,"Ideal","I","IF",62.2,57,10609,7.33,7.27,4.54
0.41,"Premium","G","VS2",61.4,59,1061,4.79,4.75,2.93
0.62,"Ideal","G","VS2",61.6,55,2321,5.51,5.53,3.4
1.19,"Good","J","SI1",59.8,64,4498,6.94,6.9,4.14
0.7,"Good","E","SI2",59.9,57,2026,5.75,5.8,3.46
0.41,"Very Good","E","VS1",63.2,59,954,4.71,4.75,2.99
0.3,"Very Good","E","VVS2",61.1,62,622,4.28,4.33,2.63
1.24,"Ideal","I","SI1",62.1,56,5797,6.84,6.88,4.26
0.8,"Good","F","VS1",59,60.9,3477,6.03,6.04,3.56
0.7,"Ideal","H","SI1",61.4,56,2815,5.7,5.76,3.52
0.37,"Very Good","G","VVS2",59.9,55,774,4.71,4.75,2.83
1.51,"Ideal","H","VS1",62.6,56,11580,7.28,7.32,4.57
0.33,"Premium","D","SI2",60.7,56,631,4.46,4.43,2.7
0.34,"Ideal","G","SI1",61.8,54,540,4.48,4.51,2.78
1.26,"Premium","H","SI1",62.1,57,6435,6.94,6.88,4.29
0.61,"Premium","I","VS2",58.8,58,1308,5.59,5.53,3.27
1,"Very Good","G","VS2",62.4,58,6449,6.31,6.38,3.96
1.52,"Premium","I","SI1",61.9,58,8631,7.42,7.37,4.58
0.75,"Ideal","G","VVS2",62.2,56,3879,5.78,5.82,3.61
0.31,"Very Good","D","SI1",63.5,56,732,4.31,4.29,2.73
0.51,"Ideal","G","VVS2",61.3,56,1902,5.16,5.19,3.17
1.06,"Ideal","H","VS2",60.5,57,5669,6.63,6.6,4
0.31,"Ideal","G","VS2",61.5,56,652,4.34,4.36,2.68
0.31,"Premium","D","VVS1",62.7,58,882,4.3,4.31,2.7
0.38,"Premium","G","IF",62.5,60,1227,4.64,4.61,2.89
0.63,"Very Good","G","VS1",61.5,56,1960,5.53,5.49,3.39
1,"Premium","H","VS1",62.4,58,4950,6.43,6.4,4
0.32,"Premium","E","SI2",61.7,60,449,4.38,4.41,2.71
0.51,"Premium","E","VS2",60.6,60,1614,5.2,5.19,3.15
0.3,"Very Good","H","VVS2",63.1,60,776,4.28,4.24,2.69
0.4,"Very Good","F","SI1",59.6,61,927,4.79,4.84,2.87
0.32,"Very Good","F","VS2",61.5,59.7,624,4.32,4.39,2.68
1,"Premium","J","I1",58.3,58,1681,6.61,6.51,3.82
0.31,"Ideal","I","SI1",62.1,53,498,4.34,4.36,2.7
0.72,"Premium","D","VS2",61,59,2721,5.77,5.74,3.51
1.51,"Very Good","E","VS2",62.4,59,14709,7.26,7.36,4.56
1.52,"Premium","H","VS2",60.6,61,9704,7.46,7.42,4.51
0.33,"Premium","E","VS2",60.6,60,928,4.48,4.43,2.7
1.1,"Premium","G","VS2",62.8,58,6387,6.6,6.58,4.14
0.91,"Ideal","F","SI2",62,57,4642,6.15,6.23,3.84
0.35,"Fair","D","VVS2",53.2,62,1011,4.87,4.8,2.57
0.33,"Ideal","F","VVS1",61.9,55,880,4.44,4.48,2.76
0.82,"Ideal","F","SI1",61.3,55,3439,6.06,6.08,3.72
1.21,"Very Good","E","SI1",62.9,58,6324,6.78,6.79,4.27
0.31,"Good","F","SI1",63.1,55,516,4.28,4.34,2.72
0.31,"Ideal","E","IF",61,57,1319,4.36,4.39,2.67
0.41,"Good","E","SI1",63.6,56,705,4.7,4.73,3
0.71,"Very Good","H","VS1",63.9,60,2562,5.54,5.6,3.56
1.54,"Ideal","G","VVS2",62,54,15415,7.36,7.43,4.59
2.01,"Premium","F","SI2",61.3,61,16881,8.11,8.01,4.94
0.26,"Ideal","H","VVS1",61.2,56,468,4.11,4.16,2.53
1.2,"Premium","G","SI1",62.3,59,6586,6.84,6.75,4.23
0.34,"Ideal","E","VVS2",60.8,58,838,4.51,4.53,2.75
0.3,"Very Good","E","VS2",62.9,58,544,4.27,4.31,2.7
0.34,"Ideal","G","VS2",62.7,55,596,4.48,4.49,2.81
1.01,"Premium","H","VS1",62.7,58,5199,6.37,6.39,4
0.31,"Fair","F","VVS1",63.1,61,740,4.32,4.37,2.74
0.32,"Very Good","G","VVS2",61.5,54,672,4.4,4.42,2.71
1.01,"Premium","D","SI1",61.8,60,5543,6.37,6.35,3.93
1.02,"Good","F","SI1",63.7,61,4678,6.27,6.23,3.98
2,"Premium","I","VS1",61.1,58,17436,8.11,8.08,4.95
0.71,"Very Good","G","SI1",63.3,56,2274,5.66,5.69,3.59
0.25,"Ideal","G","VVS1",62.6,56,582,4.01,4.05,2.52
0.36,"Premium","E","VS1",61.5,59,933,4.6,4.57,2.82
2.02,"Ideal","I","SI1",61.9,58,15942,8.07,8.18,5.03
1,"Very Good","H","SI1",60.9,58,5287,6.43,6.46,3.93
1.16,"Premium","H","SI2",61.8,58,4872,6.81,6.75,4.19
1.03,"Premium","H","VS1",62.5,59,5624,6.47,6.43,4.03
0.36,"Ideal","G","SI2",60.7,58,505,4.62,4.64,2.81
0.3,"Very Good","G","VVS1",62.8,55,635,4.28,4.31,2.7
0.58,"Good","E","SI1",59.3,64,1287,5.48,5.42,3.23
0.31,"Premium","E","VS2",61,59,680,4.35,4.37,2.66
1.62,"Ideal","I","VS1",60.8,56,11152,7.56,7.61,4.62
0.54,"Ideal","F","VVS2",61.2,55,2333,5.27,5.25,3.22
0.32,"Ideal","G","VVS1",62.4,56,842,4.36,4.39,2.73
1.15,"Premium","H","SI2",59.6,59,3735,6.82,6.78,4.05
1.2,"Very Good","H","SI1",62.9,56,6019,6.74,6.8,4.26
0.44,"Very Good","J","VS1",63.2,57,891,4.86,4.82,3.06
2.01,"Premium","I","SI2",62.1,60,9658,8.1,8.03,5.01
1.52,"Premium","D","SI2",61.4,54,10308,7.51,7.43,4.59
0.41,"Very Good","G","SI2",59.6,60,621,4.82,4.85,2.88
0.35,"Fair","G","VS2",65.9,54,1415,5.57,5.53,3.66
0.61,"Ideal","F","SI1",61.4,56,1681,5.46,5.42,3.34
0.4,"Very Good","E","SI2",63.2,57,855,4.68,4.66,2.95
2.22,"Fair","J","I1",66.7,56,5607,8.04,8.02,5.36
0.23,"Very Good","F","VVS2",61.6,57,583,3.96,3.99,2.45
1.54,"Premium","G","VS2",61.6,59,12308,7.46,7.4,4.58
1.12,"Very Good","G","VS1",62.2,59,7687,6.58,6.61,4.1
1,"Premium","E","VVS2",61.6,59,8888,6.42,6.46,3.97
1,"Fair","E","SI1",65.1,61,4435,6.15,6.08,3.98
1.01,"Very Good","F","SI2",60,59,4416,6.48,6.61,3.93
0.38,"Ideal","F","SI1",60.4,57,844,4.7,4.74,2.85
0.33,"Ideal","F","VS2",62.1,55,854,4.47,4.45,2.77
1.1,"Very Good","D","VVS2",61.7,56,11132,6.64,6.65,4.1
0.3,"Good","H","SI1",63.1,56,432,4.27,4.29,2.7
0.32,"Ideal","G","IF",60.5,57,954,4.42,4.44,2.68
0.7,"Good","D","SI1",64.2,60,2298,5.59,5.62,3.6
0.32,"Good","D","SI1",63.1,56,589,4.34,4.38,2.75
0.43,"Ideal","E","VS2",61.6,54,1053,4.9,4.88,3.01
0.33,"Very Good","G","VS2",61.5,59.4,623,4.45,4.49,2.75
1,"Very Good","G","VS1",59.1,61,6435,6.48,6.54,3.85
0.3,"Good","G","VS1",63.1,58,605,4.24,4.28,2.69
0.9,"Good","G","VS1",63.7,56,4460,6.15,6.07,3.89
0.33,"Ideal","E","VVS1",60.7,57,906,4.46,4.5,2.72
0.9,"Good","E","SI2",63.4,62,3139,6,6.02,3.81
1.14,"Very Good","H","SI2",63.3,57,4615,6.6,6.63,4.19
0.3,"Ideal","F","VVS1",61.5,56,1041,4.32,4.36,2.67
0.31,"Ideal","H","VS1",61.7,57,698,4.34,4.32,2.67
0.92,"Ideal","H","IF",62.5,55,5758,6.25,6.3,3.92
0.44,"Premium","F","VVS2",61.6,58,1253,4.89,4.85,3
0.71,"Fair","F","SI2",65.2,55.5,2103,5.52,5.58,3.62
1.5,"Very Good","E","SI2",62.8,57,8538,7.17,7.23,4.52
1.2,"Ideal","E","VVS2",61.5,57,11883,6.79,6.89,4.21
0.23,"Very Good","E","VVS1",63.3,57,485,3.88,3.95,2.48
0.93,"Premium","G","VS1",62.1,59,4793,6.21,6.16,3.84
1.03,"Very Good","D","SI2",61.8,60,4478,6.42,6.45,3.98
0.7,"Premium","I","VS1",62.9,61,2234,5.64,5.62,3.54
1.59,"Ideal","J","SI1",62.4,55,8325,7.48,7.45,4.66
1.21,"Very Good","H","VS1",62.6,58,7445,6.71,6.75,4.21
0.7,"Premium","G","VS2",59.4,59,2657,5.79,5.76,3.43
0.32,"Ideal","G","VS2",61.5,57,720,4.41,4.4,2.71
1.52,"Premium","H","SI1",62,60,7559,7.36,7.28,4.54
0.31,"Very Good","G","SI1",61.9,56,462,4.34,4.38,2.7
0.9,"Very Good","F","SI2",62,61,3770,6.14,6.16,3.81
0.24,"Premium","H","VVS2",60.7,58,554,4.07,4.04,2.46
0.31,"Ideal","H","VS2",61.4,56,507,4.38,4.42,2.7
0.4,"Ideal","F","VVS2",62.8,57,1163,4.73,4.66,2.95
0.36,"Premium","E","VVS1",62.4,56,1035,4.57,4.53,2.84
0.7,"Very Good","E","SI1",62.3,58,2476,5.6,5.67,3.51
0.29,"Good","F","VS1",62.1,56,415,4.24,4.26,2.64
0.7,"Premium","J","VS2",61.2,60,1940,5.73,5.7,3.5
1,"Premium","D","SI1",62.3,60,4469,6.23,6.19,3.87
0.4,"Premium","D","VS1",62.1,58,1123,4.7,4.73,2.93
0.33,"Ideal","H","VS1",62,55,579,4.44,4.46,2.76
0.35,"Ideal","F","VS2",60.8,57,706,4.52,4.56,2.76
0.31,"Ideal","D","IF",61.1,56,1251,4.39,4.42,2.69
1.26,"Very Good","G","SI1",63.3,58,7910,6.88,6.84,4.34
0.41,"Ideal","D","VS2",61.7,55,1177,4.8,4.76,2.95
0.71,"Ideal","F","SI1",59.8,53,2838,5.86,5.82,3.49
0.32,"Ideal","E","VS2",62.1,56,702,4.4,4.43,2.74
0.5,"Very Good","D","VS1",62,56,1750,5.09,5.11,3.16
0.35,"Ideal","D","VS2",62.3,55,829,4.52,4.54,2.82
0.36,"Ideal","G","SI1",61.4,55,571,4.61,4.64,2.84
0.24,"Very Good","F","VS1",62.9,59,393,3.95,3.97,2.49
1.56,"Ideal","J","SI2",62.1,55,5766,7.45,7.41,4.62
1.01,"Premium","F","SI2",58.8,61,4468,6.53,6.46,3.82
1.03,"Premium","E","VS1",61.5,58,7614,6.55,6.43,3.99
0.85,"Premium","F","VVS2",61.2,60,4451,6.13,6.1,3.74
0.32,"Ideal","I","VVS1",61.4,56,575,4.42,4.44,2.72
0.51,"Good","H","SI1",63.7,56,1119,5.07,5.1,3.24
0.42,"Premium","E","SI1",61.5,58,722,4.78,4.84,2.96
0.71,"Ideal","F","VS1",62.1,57,3066,5.73,5.76,3.57
0.56,"Ideal","H","VS1",61.8,55,1616,5.3,5.34,3.29
0.53,"Very Good","E","VS1",58.5,61,1852,5.28,5.39,3.12
0.38,"Ideal","G","VVS2",60,56,879,4.72,4.76,2.84
1.01,"Premium","G","VS2",58.5,61,6108,6.57,6.52,3.83
0.36,"Premium","E","SI2",61.5,58,648,4.61,4.56,2.82
0.35,"Ideal","H","VVS2",59.2,56,906,4.65,4.6,2.74
0.53,"Very Good","D","SI1",61.4,57,1631,5.2,5.26,3.21
0.3,"Premium","I","VS1",61.7,59,608,4.3,4.26,2.64
0.91,"Good","E","I1",57.7,63,2342,6.35,6.3,3.65
0.33,"Ideal","G","VVS1",61.8,55,1114,4.45,4.42,2.74
0.58,"Ideal","H","VS2",62.4,58,1600,5.3,5.34,3.32
0.9,"Premium","J","SI1",60.9,61,2873,6.26,6.22,3.8
1.05,"Ideal","F","VS1",62.3,55,8100,6.53,6.5,4.06
1.18,"Premium","G","VVS2",59.7,58,9366,6.9,6.94,4.13
0.52,"Ideal","G","VS1",61.6,56,1722,5.18,5.22,3.2
1.1,"Very Good","E","SI2",60,58,4539,6.72,6.75,4.04
0.49,"Premium","E","VS2",58.8,59,1351,5.2,5.14,3.04
0.53,"Very Good","G","SI1",63.4,54,1161,5.09,5.13,3.24
0.52,"Ideal","G","VVS1",61.9,54.4,1936,5.15,5.18,3.2
0.41,"Very Good","H","SI1",62.9,58,683,4.72,4.73,2.97
0.42,"Premium","F","VVS2",60.3,59,1142,4.83,4.86,2.92
0.72,"Ideal","F","VS2",60.3,56,2724,5.84,5.81,3.51
0.92,"Ideal","F","SI2",61.5,56,3763,6.27,6.32,3.87
0.7,"Premium","G","SI1",62.6,60,2415,5.61,5.57,3.5
0.39,"Ideal","G","VS1",62,55,1077,4.71,4.66,2.9
0.73,"Ideal","H","VVS2",61.6,56,2846,5.79,5.84,3.58
0.74,"Very Good","F","VS1",61.7,57,3226,5.79,5.85,3.59
0.53,"Good","D","VS1",60.2,56,1775,5.22,5.28,3.16
0.88,"Ideal","D","SI2",62.2,56,3962,6.12,6.16,3.82
0.9,"Premium","G","VS2",62.1,59,4259,6.2,6.14,3.83
0.51,"Very Good","H","VS2",60.8,58,1414,5.12,5.17,3.13
1.01,"Fair","E","SI1",64.7,59,4181,6.23,6.11,3.99
0.7,"Very Good","D","SI1",63.4,58,2734,5.63,5.66,3.58
0.41,"Premium","G","VS1",60.2,59,961,4.84,4.79,2.9
1.2,"Premium","H","SI2",62.8,61,4973,6.7,6.62,4.18
0.4,"Ideal","F","VS2",61,62,867,4.71,4.74,2.88
0.9,"Very Good","E","VS2",63,57,4643,6.07,6.15,3.85
1,"Very Good","F","SI2",61.7,58,3789,6.32,6.36,3.91
1.58,"Ideal","I","SI2",60.9,59,9973,7.48,7.55,4.58
0.73,"Ideal","D","SI1",61.5,56,2858,5.84,5.8,3.58
0.27,"Very Good","H","VVS1",61.2,57,504,4.15,4.18,2.55
1.31,"Very Good","J","VS1",63.7,55,6101,6.94,7.01,4.44
0.73,"Premium","D","SI1",61.7,55,2821,5.84,5.82,3.6
0.53,"Ideal","G","VS1",62.4,54,1659,5.18,5.21,3.24
0.3,"Premium","G","SI2",62.3,59,394,4.25,4.29,2.66
0.74,"Ideal","G","VS2",62.9,54,2723,5.81,5.78,3.64
0.61,"Premium","F","VVS2",59.7,58,2392,5.56,5.53,3.31
0.7,"Fair","G","VS1",68.5,58,2250,5.47,5.34,3.7
0.47,"Premium","G","VS2",61,59,1116,5.03,5,3.06
0.44,"Ideal","G","IF",61.3,55,1378,4.91,4.95,3.02
1.55,"Ideal","I","VS1",61.9,55,10869,7.43,7.46,4.61
0.42,"Ideal","D","SI1",62.4,57,1040,4.84,4.77,3
0.5,"Ideal","D","VVS2",60.7,57,2376,5.2,5.15,3.14
0.91,"Premium","D","SI2",62.2,59,4051,6.23,6.19,3.86
1.61,"Very Good","E","SI2",63,59.9,10891,7.42,7.45,4.68
1.5,"Very Good","H","SI2",62.3,60,7775,7.28,7.22,4.52
0.31,"Ideal","G","VVS2",61.3,56,687,4.37,4.41,2.69
0.44,"Premium","H","VS2",61.3,58,810,4.88,4.91,3
1.01,"Ideal","G","SI1",62.9,57,4004,6.37,6.3,3.98
1.04,"Ideal","E","SI2",62.3,55,5531,6.46,6.49,4.03
0.34,"Very Good","I","SI1",61.7,56,459,4.51,4.54,2.79
1.08,"Ideal","G","VS2",62.5,56,6530,6.57,6.54,4.1
1.51,"Premium","J","SI2",59.7,62,5327,7.46,7.42,4.44
1.01,"Ideal","E","SI2",61.5,55,5437,6.44,6.51,3.98
1.72,"Good","J","SI2",63.2,57,7741,7.56,7.6,4.79
0.92,"Premium","G","VS2",61.6,62,4287,6.3,6.24,3.86
1.07,"Ideal","F","VS2",61.7,57,8640,6.52,6.54,4.03
1.03,"Good","D","SI2",59.3,58,4671,6.57,6.61,3.91
0.35,"Ideal","F","IF",60.9,55,1312,4.58,4.61,2.8
0.95,"Fair","F","SI2",56,60,2815,6.62,6.53,3.68
2.07,"Premium","H","SI1",61.2,60,14476,8.2,8.12,4.99
0.38,"Premium","G","VS1",60.6,58,1069,4.67,4.64,2.82
0.9,"Good","D","SI1",63.2,62,4068,6.06,6.13,3.85
0.52,"Ideal","H","VS2",61.8,56,1573,5.19,5.16,3.2
1.5,"Premium","H","SI1",61.4,58,10080,7.41,7.28,4.51
1.53,"Premium","G","VS2",61.8,59,12717,7.45,7.31,4.56
0.41,"Very Good","H","SI1",62.8,56,683,4.72,4.77,2.98
1.96,"Very Good","H","SI2",62.7,58,13099,7.86,7.93,4.95
0.26,"Very Good","F","VVS1",61.7,57,657,4.09,4.13,2.53
0.33,"Ideal","G","VS1",61.6,57,699,4.46,4.49,2.75
0.79,"Very Good","F","SI1",61.5,58,3047,5.94,5.97,3.66
0.71,"Premium","G","SI2",58.2,60,1902,5.91,5.88,3.43
0.31,"Ideal","D","SI1",62.9,56,732,4.34,4.31,2.72
0.56,"Very Good","D","SI1",63.1,57,1777,5.22,5.19,3.29
1.56,"Ideal","H","SI1",60.4,59,10642,7.5,7.53,4.54
0.52,"Ideal","E","VVS2",62.3,57,2116,5.12,5.15,3.2
0.52,"Ideal","E","VS2",60.9,57,1815,5.23,5.21,3.18
0.92,"Ideal","D","SI1",62.2,56,4561,6.23,6.27,3.89
0.34,"Ideal","F","VVS2",61.8,56,914,4.49,4.47,2.77
0.32,"Ideal","H","VVS2",61.9,53,619,4.42,4.44,2.74
1.01,"Premium","H","SI2",61.1,59,4242,6.54,6.46,3.97
0.31,"Ideal","I","VS1",62.8,55,628,4.35,4.31,2.72
1.1,"Ideal","H","SI1",61.5,56,6844,6.61,6.65,4.08
0.3,"Ideal","D","SI1",62.2,56,552,4.25,4.3,2.66
2.01,"Ideal","G","SI1",61.6,57,12829,8.08,8,4.95
0.54,"Ideal","G","VVS1",61.8,55,2236,5.27,5.24,3.25
1.27,"Ideal","I","SI1",62.4,56,5690,6.95,6.9,4.32
1.06,"Premium","G","VVS2",59.6,58,8003,6.61,6.65,3.95
0.27,"Premium","H","VVS2",60.7,59,623,4.21,4.19,2.55
0.74,"Ideal","G","VVS1",61.9,54,3402,5.8,5.84,3.6
1.13,"Very Good","F","SI2",59.1,59,5014,6.81,6.87,4.04
0.46,"Premium","E","VS2",58.5,61,1173,5.1,5.05,2.97
0.3,"Ideal","G","VVS2",62.7,57,684,4.26,4.29,2.68
1.35,"Premium","I","SI1",59.2,59,6577,7.24,7.18,4.27
0.42,"Ideal","D","SI1",62,55,810,4.83,4.84,3
1.52,"Good","J","SI1",63.6,60,7022,7.25,7.21,4.6
0.96,"Premium","G","SI1",62,57,3355,6.34,6.31,3.92
1.2,"Very Good","H","SI2",61.5,58,5884,6.78,6.84,4.19
0.77,"Ideal","F","SI1",61.5,55,3321,5.88,5.92,3.63
0.94,"Good","D","SI2",57.9,61,3125,6.48,6.43,3.74
0.43,"Premium","F","SI1",62.9,60,1016,4.8,4.77,3.01
0.33,"Ideal","D","VS1",61.1,57,727,4.46,4.48,2.73
1.03,"Fair","G","SI2",65.6,58,3765,6.3,6.26,4.12
0.33,"Good","D","VS2",63.5,56,625,4.36,4.4,2.78
0.31,"Ideal","D","VS2",60.4,56,942,4.42,4.39,2.66
0.71,"Ideal","E","VS1",62.4,54,2923,5.71,5.74,3.57
0.32,"Ideal","F","VS1",62,54,876,4.44,4.43,2.75
1.05,"Very Good","H","SI2",63,59,4158,6.44,6.48,4.07
0.33,"Very Good","F","VVS1",61.1,58,912,4.42,4.46,2.71
1.55,"Ideal","J","VS2",61.4,55,8498,7.41,7.49,4.58
1.01,"Ideal","E","SI2",62,56,4694,6.46,6.42,3.99
0.51,"Ideal","F","VVS1",60.9,57,2208,5.16,5.21,3.16
0.34,"Ideal","H","VS2",61.5,54,689,4.54,4.5,2.78
0.59,"Ideal","I","VVS1",61,55,1742,5.43,5.48,3.33
0.7,"Good","E","VS2",61.5,61,2473,5.64,5.74,3.5
1.21,"Ideal","I","VS1",61.8,56,7037,6.83,6.87,4.23
0.31,"Ideal","H","VVS1",61.8,57,907,4.35,4.32,2.68
0.32,"Premium","G","VS1",62.1,58,828,4.39,4.37,2.72
0.71,"Ideal","I","VS2",61.5,55,2878,5.76,5.78,3.55
1.5,"Premium","H","SI1",62.4,58,9697,7.33,7.28,4.56
0.36,"Good","E","VVS1",58.2,56,923,4.68,4.74,2.74
2.3,"Premium","I","SI2",61.3,58,11051,8.53,8.46,5.21
0.41,"Good","E","SI2",63.5,55,638,4.69,4.73,2.99
0.91,"Premium","J","SI1",62.8,59,2905,6.19,6.14,3.87
0.32,"Ideal","H","VS2",62,55,505,4.39,4.42,2.73
0.3,"Ideal","E","VS1",61.9,56,670,4.28,4.31,2.66
1.02,"Premium","D","SI2",59.5,62,4912,6.56,6.52,3.89
1.01,"Good","F","SI2",65.7,58,4049,6.12,6.2,4.05
0.74,"Good","E","SI1",62.8,61,2906,5.74,5.76,3.61
0.77,"Ideal","H","VS1",61.3,56,3468,5.91,5.97,3.64
0.53,"Ideal","J","VS1",61.4,55.2,1218,5.2,5.22,3.2
0.32,"Ideal","D","VS2",62.7,57,972,4.44,4.4,2.77
2,"Premium","H","SI2",61.4,59,11108,8.07,8,4.93
0.98,"Premium","F","SI2",62.3,56,3485,6.44,6.35,3.98
0.9,"Premium","G","SI1",62.7,59,3774,6.14,6.1,3.84
0.32,"Ideal","D","VVS1",61.8,56,1067,4.39,4.41,2.72
0.53,"Ideal","D","VS2",61,56,1783,5.29,5.26,3.22
0.34,"Ideal","E","SI1",61.7,56,596,4.49,4.52,2.78
1.13,"Ideal","D","VVS2",60.1,57,12261,6.83,6.78,4.09
0.55,"Premium","G","VS1",62,57,1881,5.3,5.25,3.27
0.3,"Very Good","D","VS2",62.8,59,710,4.26,4.28,2.68
0.45,"Ideal","J","VVS1",61.9,56,978,4.93,4.95,3.06
1.06,"Ideal","G","VVS1",61.6,57,8643,6.55,6.53,4.03
1.2,"Premium","H","SI1",61.2,57,6129,6.91,6.78,4.19
0.31,"Ideal","G","VVS1",62.5,55,816,4.33,4.34,2.71
0.41,"Good","G","SI2",63.6,54,784,4.74,4.7,3
0.91,"Ideal","E","SI1",61.9,55,5458,6.21,6.23,3.85
0.6,"Very Good","G","SI1",63.5,59.9,1565,5.28,5.3,3.36
0.25,"Very Good","E","VVS1",60.2,59,575,4.11,4.13,2.48
0.61,"Very Good","I","VVS2",62,54.4,1773,5.47,5.51,3.4
1,"Fair","I","I1",66.9,57,1997,6.15,6.03,4.09
1,"Premium","F","SI1",62.1,59,5152,6.39,6.36,3.96
2.1,"Ideal","I","SI1",61.6,57,12168,8.24,8.15,5.05
0.51,"Premium","D","SI1",61.9,60,1642,5.15,5.12,3.18
1.03,"Premium","E","VS2",60,59,6344,6.54,6.6,3.94
0.75,"Premium","E","VS2",59.9,61,3108,5.97,5.91,3.56
0.31,"Very Good","E","SI1",63.4,55,698,4.33,4.32,2.74
0.7,"Very Good","F","VVS1",63,60,3261,5.59,5.62,3.53
0.25,"Premium","E","VS1",61.5,60,558,4.04,4.02,2.48
0.36,"Premium","G","VS1",59.7,56,932,4.67,4.64,2.78
0.47,"Premium","H","VS1",61.8,58,1143,4.94,4.99,3.07
0.39,"Very Good","I","VS2",59.6,57,712,4.77,4.82,2.86
1.13,"Very Good","H","SI1",60.1,60,4959,6.73,6.77,4.06
2.05,"Very Good","J","VS1",61.4,58.5,16641,8.13,8.16,5
2.12,"Premium","G","I1",60,58,7508,8.39,8.28,4.99
0.7,"Premium","G","VVS2",60.2,61,2999,5.74,5.66,3.43
1.04,"Ideal","F","I1",61.6,57,3718,6.51,6.46,4
0.54,"Ideal","D","VVS1",61.2,57,3494,5.25,5.27,3.22
0.8,"Ideal","D","SI1",62.6,55,3597,5.91,5.94,3.71
2.22,"Good","I","SI2",63.2,57,16398,8.23,8.28,5.22
0.7,"Very Good","E","SI1",61.9,60,2496,5.6,5.67,3.49
1.09,"Ideal","H","VS2",61.3,56,6288,6.57,6.63,4.05
0.91,"Very Good","H","SI1",62.8,58,3734,6.13,6.16,3.86
1.41,"Premium","E","VS2",62.7,56,11644,7.18,7.1,4.48
1.02,"Premium","F","SI2",61,58,4043,6.49,6.52,3.97
0.31,"Ideal","D","SI1",61.9,57,548,4.36,4.39,2.71
1.22,"Very Good","F","VVS2",60.7,62,10719,6.81,6.84,4.14
0.38,"Ideal","E","VVS1",61.9,56,1267,4.64,4.67,2.88
0.3,"Ideal","E","SI1",61.6,54,499,4.32,4.35,2.67
0.31,"Premium","D","VS2",60.7,59,942,4.38,4.35,2.65
2.02,"Ideal","J","SI1",59.8,60,12713,8.21,8.16,4.9
0.5,"Premium","I","VVS1",62.8,61,1556,5.05,4.98,3.15
0.72,"Premium","G","VS2",62.3,57,2550,5.74,5.69,3.56
0.31,"Very Good","G","VVS2",62.9,58,707,4.27,4.31,2.7
0.38,"Ideal","G","VVS1",61.2,54,949,4.69,4.72,2.88
1.51,"Good","G","IF",62.8,60,14654,7.18,7.24,4.53
0.5,"Very Good","D","SI2",63.1,56,1015,5.05,4.96,3.16
1.02,"Premium","H","SI1",61.9,61,4558,6.42,6.34,3.95
0.32,"Premium","H","VVS2",62.3,58,828,4.37,4.33,2.71
0.72,"Premium","H","VS2",61.7,56,2316,5.77,5.73,3.55
1.06,"Premium","I","SI2",60.9,58,4096,6.6,6.56,4.01
0.84,"Good","F","I1",60.8,64,1749,6.05,6.03,3.67
0.58,"Very Good","H","SI1",61.8,56,1219,5.34,5.38,3.31
0.54,"Very Good","F","SI1",63.3,56,1389,5.24,5.21,3.31
1.09,"Premium","G","VS2",62.1,57,5098,6.6,6.55,4.08
0.23,"Very Good","E","VVS1",63.5,54,530,3.92,3.95,2.5
2.43,"Fair","G","SI2",64.5,57,14975,8.41,8.36,5.41
0.3,"Ideal","H","SI1",62.4,53.7,442,4.29,4.31,2.68
0.31,"Very Good","G","VS2",62.9,57,544,4.31,4.34,2.72
0.48,"Very Good","E","SI1",62.7,58.5,1349,4.99,5.01,3.14
0.9,"Very Good","G","VS2",63.5,62,4081,6.07,6.11,3.87
0.36,"Ideal","F","SI1",61.5,57,770,4.59,4.55,2.81
0.29,"Premium","E","SI1",58.4,60,548,4.34,4.32,2.53
2.01,"Good","I","SI2",64.6,57,12681,7.82,7.88,5.07
0.4,"Premium","G","SI1",59.6,61,840,4.76,4.74,2.83
0.32,"Premium","G","SI1",62.6,58,612,4.37,4.35,2.73
0.52,"Premium","E","VS2",60.6,58,1622,5.23,5.2,3.16
0.4,"Ideal","J","IF",62.6,56,1063,4.75,4.71,2.96
